┌─────────┬──────────────────────────────┬─────────┐
| (index) │             tag              │  freq   │
├─────────┼──────────────────────────────┼─────────┤
│    0    │            'DOI'             │   184   │
│    1    │             'P'              │    1    │
│    2    │           'abbrev'           │   743   │
│    3    │     'abbreviatedEpithet'     │  1740   │
│    4    │        'abbreviation'        │   34    │
│    5    │      'abbreviationData'      │   34    │
│    6    │     'abbreviationRange'      │   14    │
│    7    │   'abbreviationReference'    │    8    │
│    8    │         'accessDate'         │    5    │
│    9    │      'accessionNumber'       │  32525  │
│   10    │           'author'           │  4611   │
│   11    │         'authorName'         │  4571   │
│   12    │         'authority'          │  3636   │
│   13    │     'authorityCitation'      │    1    │
│   14    │       'backReference'        │    1    │
│   15    │        'baseEpithet'         │  2207   │
│   16    │          'bedrock'           │    1    │
│   17    │           'bibRef'           │  4807   │
│   18    │       'bibRefCitation'       │ 1064566 │
│   19    │     'bibRefPageCitation'     │   17    │
│   20    │           'block'            │    3    │
│   21    │      'bookContentInfo'       │   220   │
│   22    │   'botanicCollectionCode'    │   191   │
│   23    │ 'botanicCollectionCodeGroup' │   54    │
│   24    │          'caption'           │ 143088  │
│   25    │      'captionCitation'       │    7    │
│   26    │        'casentNumber'        │   33    │
│   27    │          'citation'          │   49    │
│   28    │     'citationReference'      │   108   │
│   29    │       'collectedFrom'        │  2199   │
│   30    │     'collectingCountry'      │ 770142  │
│   31    │      'collectingCounty'      │  25898  │
│   32    │       'collectingDate'       │ 152297  │
│   33    │      'collectingEvent'       │   27    │
│   34    │    'collectingEventGroup'    │    2    │
│   35    │     'collectingLocation'     │   29    │
│   36    │      'collectingMethod'      │  24762  │
│   37    │   'collectingMunicipality'   │  54805  │
│   38    │      'collectingRegion'      │ 216185  │
│   39    │  'collectingRegionExclude'   │    7    │
│   40    │   'collectingRegionGroup'    │   153   │
│   41    │       'collectionCode'       │ 608482  │
│   42    │      'collectionCode45'      │   246   │
│   43    │     'collectionCodeEnum'     │  1945   │
│   44    │       'collectionName'       │    1    │
│   45    │       'collectorName'        │ 195459  │
│   46    │      'colletingMethod'       │   18    │
│   47    │            'crop'            │    2    │
│   48    │            'date'            │ 605725  │
│   49    │       'determinerName'       │  14393  │
│   50    │         'docAuthor'          │   35    │
│   51    │           'docID'            │    8    │
│   52    │      'docIdZenodo-Dep'       │    1    │
│   53    │          'docIssue'          │   218   │
│   54    │         'docJournal'         │   19    │
│   55    │          'docTitle'          │   22    │
│   56    │         'docVolume'          │    6    │
│   57    │          'docYear'           │   85    │
