"tag with attr=""type""","references <subSubSection type=""ref +",frequency
"<subSubSection type=""additional literature"">",true,3
"<subSubSection type=""citation of original description by amsel"">",true,1
"<subSubSection type=""citations"">",true,3
"<subSubSection type=""list of references"">",true,2
"<subSubSection type=""literature record"">",true,14
"<subSubSection type=""literature records"">",true,256
"<subSubSection type=""literature"">",true,4
"<subSubSection type=""ref-group"">",true,1
"<subSubSection type=""refGroup"">",true,7
"<subSubSection type=""ref_group"">",true,3
"<subSubSection type=""reference phylogeny"">",true,6
"<subSubSection type=""reference sequence"">",true,1
"<subSubSection type=""reference sequences"">",true,12
"<subSubSection type=""reference"">",true,696
"<subSubSection type=""referenceGroup"">",true,10
"<subSubSection type=""reference_Group"">",true,2
"<subSubSection type=""reference_group"">",true,121168
"<subSubSection type=""references"">",true,1272
