"tag with attr=""type""","authors&ranks <subSubSection type=""no +",frequency
"<subSubSection type=""authors of description"">",true,1
"<subSubSection type=""authors of the description"">",true,1
"<subSubSection type=""authorsâ€™ contributions"">",true,1
"<subSubSection type=""nomenclatorial note"">",true,1
"<subSubSection type=""nomenclatorial remark"">",true,1
"<subSubSection type=""nomenclatural and taxonomic emendations"">",true,2
"<subSubSection type=""nomenclatural and taxonomic remarks"">",true,3
"<subSubSection type=""nomenclatural and taxonomical notes"">",true,2
"<subSubSection type=""nomenclatural comment"">",true,2
"<subSubSection type=""nomenclatural comments"">",true,5
"<subSubSection type=""nomenclatural note"">",true,16
"<subSubSection type=""nomenclatural remarks"">",true,11
"<subSubSection type=""nomenclature citation"">",true,1
"<subSubSection type=""nomenclature notes"">",true,1
"<subSubSection type=""nomenclature of the type species"">",true,1
"<subSubSection type=""nomenclature remarks"">",true,2
"<subSubSection type=""nomenclature"">",true,287774
"<subSubSection type=""nomenclature-citation"">",true,5
"<subSubSection type=""non-type materials examined"">",true,1
"<subSubSection type=""non-type specimens (not collected) photographed in situ"">",true,1
"<subSubSection type=""non-type specimens examined"">",true,1
