tag	attributes	xml	frequency
DOI	box	184	DC37878DC166FFA6FF53FD546F4FC2FA
DOI	pageId	184	DC37878DC166FFA6FF53FD546F4FC2FA
DOI	pageNumber	170	DC37878DC166FFA6FF53FD546F4FC2FA
P	pageId	1	3E46BF2FE8C98EE80F669F17C7AFFEC4
P	pageNumber	1	3E46BF2FE8C98EE80F669F17C7AFFEC4
abbrev	content-type	39	F6F85D52062BDD7D7FFEDE10AC6C27CC
abbrev	id	453	FCA8BB91F8C1A2AB215256C7AC4ECCF5
abbrev	pageId	743	FCA8BB91F8C1A2AB215256C7AC4ECCF5
abbrev	pageNumber	743	FCA8BB91F8C1A2AB215256C7AC4ECCF5
abbrev	xlink:title	743	FCA8BB91F8C1A2AB215256C7AC4ECCF5
abbreviatedEpithet	baseIndex	1740	C3BDA694D8224E9046B9C788F0FC7B34
abbreviatedEpithet	rankGroup	1740	C3BDA694D8224E9046B9C788F0FC7B34
abbreviatedEpithet	rankGroupNumber	1740	C3BDA694D8224E9046B9C788F0FC7B34
abbreviatedEpithet	state	1740	C3BDA694D8224E9046B9C788F0FC7B34
abbreviatedEpithet	string	1740	C3BDA694D8224E9046B9C788F0FC7B34
abbreviatedEpithet	value	1740	C3BDA694D8224E9046B9C788F0FC7B34
abbreviation	abbreviationRange--annotationValue	7	5549C4279D1007EAD844CE6A921EC45E
abbreviation	abbreviationRange--prefix	7	5549C4279D1007EAD844CE6A921EC45E
abbreviation	abbreviationRange--type	7	5549C4279D1007EAD844CE6A921EC45E
abbreviation	abbreviationRange--value	7	5549C4279D1007EAD844CE6A921EC45E
abbreviation	abbreviationRange--valueMax	7	5549C4279D1007EAD844CE6A921EC45E
abbreviation	abbreviationRange--valueMin	7	5549C4279D1007EAD844CE6A921EC45E
abbreviation	abbreviationRange--values	7	5549C4279D1007EAD844CE6A921EC45E
abbreviation	box	18	03F387EE5A04FFFBD05DFA04F793FA88
abbreviation	collectionCode--1--annotationValue	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--1--box	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--1--collectionName	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--1--pageId	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--1--pageNumber	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--2--annotationValue	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--2--box	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--2--collectionName	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--2--pageId	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--2--pageNumber	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--annotationValue	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--box	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--collectionName	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--pageId	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	collectionCode--pageNumber	1	03A6879FA843FFA4E5E4FA87029E6119
abbreviation	geoCoordinate--annotationValue	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	impliedText	34	5549C4279D1007EAD844CE6A921EC45E
abbreviation	level	34	5549C4279D1007EAD844CE6A921EC45E
abbreviation	location--annotationValue	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	location--country	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	location--name	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	normalizedToken--annotationValue	2	3644A8E16E8D1B900DF06A90F82DE761
abbreviation	normalizedToken--originalValue	2	3644A8E16E8D1B900DF06A90F82DE761
abbreviation	normalizedToken--pageId	2	3644A8E16E8D1B900DF06A90F82DE761
abbreviation	normalizedToken--pageNumber	2	3644A8E16E8D1B900DF06A90F82DE761
abbreviation	pageId	18	03F387EE5A04FFFBD05DFA04F793FA88
abbreviation	pageNumber	18	03F387EE5A04FFFBD05DFA04F793FA88
abbreviation	parent	9	03F387EE5A04FFFBD05DFA04F793FA88
abbreviation	taxonomicName--_evidence	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	taxonomicName--_rankHash	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	taxonomicName--annotationValue	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	taxonomicName--genus	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	taxonomicName--pageId	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	taxonomicName--pageNumber	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	taxonomicName--rank	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	taxonomicName--species	14	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--1--annotationValue	16	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--1--isEmpty	4	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--1--pageId	16	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--1--pageNumber	16	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--10--annotationValue	16	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--10--isEmpty	5	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--10--pageId	16	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--10--pageNumber	16	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--11--annotationValue	16	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--11--isEmpty	5	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--11--pageId	16	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--11--pageNumber	16	5549C4279D1007EAD844CE6A921EC45E
abbreviation	td--12--annotationValue	16	5549C4279D1007EAD844CE6A921EC45E
