tag with attr="type"	frequency
<abbreviationRange type="Arabic">	14
<abbreviationReference type="Arabic">	3
<authority type="journal article">	18
<authorityCitation type="book chapter">	1
<bibRef type="bibRef">	150
<bibRef type="book chapter">	481
<bibRef type="book">	707
<bibRef type="journal article">	2667
<bibRef type="journal volume">	136
<bibRef type="mainText">	1
<bibRef type="proceedings paper">	6
<bibRef type="treatment">	11
<bibRef type="url">	4
<bibRefCitation type="book chapter">	68301
<bibRefCitation type="book">	118710
<bibRefCitation type="journal article">	682368
<bibRefCitation type="journal volume">	2174
<bibRefCitation type="proceedings paper">	3389
<bibRefCitation type="proceedings">	15
<bibRefCitation type="url">	1428
<caption type="caption">	162
<caption type="description">	1
<caption type="mainText">	1
<caption type="nomenclature">	1
<collectingLocation type="Arabic">	1
<collectionCode type="Herbarium">	999
<collectionCode type="Living organism collection (e.g., culture collection, seedbank)">	1
<collectionCode type="Museum">	4475
<collectionCode type="Other institutional type">	218
<collectionCode type="Other type of research institution/biorepository">	169
<collectionCode type="University or college">	575
<journalOrPublisher type="_">	293
<journalOrPublisher type="part">	1
<location type="holotype">	1
<materialsCitation type="Arabic">	2
<materialsCitation type="holotype">	1
<materialsCitation type="lectotype">	1
<materialsCitation type="paralectotype">	1
<materialsCitation type="syntype">	1
<mcCollectionCode type="Herbarium">	350
<mcCollectionCode type="Museum">	1259
<mcCollectionCode type="Other institutional type">	30
<mcCollectionCode type="Other type of research institution/biorepository">	32
<mcCollectionCode type="University or college">	74
<misspelling type="misspelled">	1267
<misspelling type="outOfLanguage">	63
<misspelling type="split">	7
<mods:dateOther type="pubDate">	2
<mods:detail type="issue">	116550
<mods:detail type="numero">	23
<mods:detail type="pubDate">	38486
<mods:detail type="title">	388
<mods:detail type="volume">	284569
<mods:identifier type="Attribute ValueRoberts1998SpigidsExc">	5
<mods:identifier type="Bertkau_1889Excerpt">	1
<mods:identifier type="Bosenberg1902Excerpt">	1
<mods:identifier type="CampylopusFloraGuianas">	14
<mods:identifier type="CampylopusFloraSuriname">	11
<mods:identifier type="ChenZhang1991Excerpt">	4
<mods:identifier type="ChyzerKulczynski1894Exc">	2
<mods:identifier type="DOI">	272998
<mods:identifier type="GenericHash">	22
<mods:identifier type="HNS-PUB">	9617
<mods:identifier type="HNS-Pub">	1441
<mods:identifier type="Handle">	133
<mods:identifier type="HeimerNentwig1991Excerpt">	3
<mods:identifier type="HovenkampMiyamoto2005">	35
<mods:identifier type="ISBN">	951
<mods:identifier type="ISSN">	166876
<mods:identifier type="JocqueDippenaarSchoeman2006Excerpt">	1
<mods:identifier type="Kropf1990">	1
<mods:identifier type="Kropf1998">	1
<mods:identifier type="Kropf2004c">	1
<mods:identifier type="LePeru2011Excerpt">	7
<mods:identifier type="Levi1957d">	11
<mods:identifier type="LeviLevi1962Excerpt">	4
<mods:identifier type="Oi1960aLinyphiidSpidersJapanExtrac">	2
<mods:identifier type="Ono2009Excerpt">	3
<mods:identifier type="Palmgren1980">	7
<mods:identifier type="Pensoft-Pub">	99222
<mods:identifier type="Plazi-MODS">	2404
<mods:identifier type="SchusterMoschitz1984">	1
<mods:identifier type="Thaler1978d">	43
<mods:identifier type="Wiele1960aExcerpt">	2
<mods:identifier type="Wunderlich2004hExcerpt">	2
<mods:identifier type="ZBK">	20631
<mods:identifier type="Zenodo-Dep">	171009
<mods:identifier type="ZooBank">	187698
<mods:identifier type="ZooBank-PUB">	3117
<mods:name type="personal">	1766922
<mods:relatedItem type="host">	287447
<pagination type="pageRange">	84
<pagination type="pagination">	3070
<paragraph type="bibRef">	137
<paragraph type="caption">	563
<paragraph type="footnote">	14
<paragraph type="h1">	3
<paragraph type="h4">	1
<paragraph type="heading">	166
